军事理论,84
军事技能训练,80
机械工程训练,80
大学体育Ⅰ,75
大学英语Ⅱ,81
C语言程序设计,68
高等数学Ⅱ,72
公益劳动,85
形势与政策Ⅱ,81
大学语文,85
大学物理Ⅰ,60
社会实践二,94
职业生涯与发展规划,85
马克思主义基本原理概论,74
大学物理Ⅱ,71
线性代数A,85
大学英语Ⅲ,87
社会实践三,90
文献检索,77
概率论与数理统计A,92
大学英语Ⅳ,87
毛泽东思想和中国特色社会主义理论体系概论,83
离散数学,64
大学生就业指导,79
新时代劳动教育,84
社会实践一,80
入学教育,78
高等数学I,78
心理健康教育,75
大学计算机基础,96
艺术鉴赏,81
大学英语Ⅰ,76
思想道德修养与法律基础,67
形势与政策Ⅰ,67
中国近现代史纲要,60
军事理论,83
军事技能训练,80
机械工程训练,79
大学体育Ⅰ,73
大学英语Ⅱ,68
C语言程序设计,73
高等数学Ⅱ,67
公益劳动,85
形势与政策Ⅱ,78
大学语文,77
大学物理Ⅰ,64
社会实践二,80
职业生涯与发展规划,81
马克思主义基本原理概论,78
大学物理Ⅱ,71
线性代数A,85
大学英语Ⅲ,69
社会实践三,89
文献检索,85
概率论与数理统计A,86
大学英语Ⅳ,77
毛泽东思想和中国特色社会主义理论体系概论,67
离散数学,67
大学生就业指导,85
新时代劳动教育,82
社会实践一,94
入学教育,82
高等数学I,84
心理健康教育,88
大学计算机基础,85
艺术鉴赏,85
大学英语Ⅰ,90
思想道德修养与法律基础,79
形势与政策Ⅰ,76
中国近现代史纲要,74
军事理论,82
军事技能训练,80
机械工程训练,85
大学体育Ⅰ,87
大学英语Ⅱ,78
C语言程序设计,76
高等数学Ⅱ,60
公益劳动,85
形势与政策Ⅱ,83
大学语文,89
大学物理Ⅰ,75
社会实践二,95
职业生涯与发展规划,87
马克思主义基本原理概论,89
大学物理Ⅱ,64
线性代数A,86
大学英语Ⅲ,81
社会实践三,95
文献检索,89
概率论与数理统计A,0
大学英语Ⅳ,0
毛泽东思想和中国特色社会主义理论体系概论,0
离散数学,0
大学生就业指导,77
新时代劳动教育,77
社会实践一,84
入学教育,87
高等数学I,94
心理健康教育,88
大学计算机基础,89
艺术鉴赏,84
大学英语Ⅰ,79
思想道德修养与法律基础,77
形势与政策Ⅰ,84
中国近现代史纲要,68
军事理论,84
军事技能训练,80
机械工程训练,78
大学体育Ⅰ,85
大学英语Ⅱ,72
